Petrolz,78,PETROLIER,Multinationale française de production et de fourniture d'hydrocarbures
Energie3000,23,ENERGIE,société anonyme française de production et de fourniture d'électricité
Renaud,45,TRANSPORT,Constructeur automobile français historique, spécialisé dans les véhicules particuliers et utilitaires
BléMaster,12,AGRICOLE,Producteur agricole spécialisé dans la culture et la commercialisation de céréales
TechNova,134,TECHNOLOGIQUE,Éditeur de logiciels et de plateformes numériques en forte croissance
PharmaPlus,89,TECHNOLOGIQUE,Laboratoire pharmaceutique spécialisé dans la recherche et la commercialisation de médicaments
GreenAuto,56,TRANSPORT,Constructeur de véhicules électriques axé sur la mobilité durable
FoodMarket,18,AGRICOLE,Groupe agroalimentaire produisant et distribuant des produits de consommation courante
AeroFrance,102,TRANSPORT,Compagnie aérienne assurant des liaisons nationales et internationales
FinTechPlus,67,TECHNOLOGIQUE,Entreprise technologique proposant des services bancaires et de paiement numériques
