titre;extrait;rubrique
Un pigeon bloque la ligne 8;Un volatile s'est installe dans le poste de conduite. Vingt minutes de retard, zero excuse credible.;INSOLITE
Braquage d'une boulangerie a l'aube;Deux hommes cagoules ont exige le fond de caisse et six croissants. L'enquete continue.;POLICE
Orage record sur le quartier ouest;La foudre a touche un transformateur. Plusieurs rues sont restees dans le noir jusqu'a minuit.;METEO
Finale de petanque sous tension;Le champion local a perdu sur une boule douteuse. Des sifflets ont fuse jusqu'au cafe d'en face.;SPORT
Un chat elu maire honoraire;Les habitants d'une ruelle ont vote pour Minou, deja celebre pour voler les sardines du marche.;INSOLITE
Fuite d'eau dans le palais de justice;L'audience de 10h a ete reportee. Un juge a tenu seance avec des bottes.;SOCIETE
Concert clandestin sur un toit;Une fanfare a reveille tout un immeuble. La police est arrivee... et a demande un rappel.;CULTURE
Pickpocket arrete avec 47 montres;L'homme pretendait tester la mode. Les victimes ne partagent pas cet avis.;POLICE
Canicule : les glaces a 4 euros;Les marchands justifient le tarif par "l'emotion du moment". Les files n'ont pas diminue.;SOCIETE
Un bus prend le mauvais pont;Le chauffeur a suivi son GPS jusqu'a une voie pieonne. Personne n'a ete blesse, sauf l'ego municipal.;INSOLITE
Course de trottinettes interdite;La prefecture rappelle que le trottoir n'est pas un circuit. Un casque rose a ete saisi.;SOCIETE
Statue decapitee place Centrale;Le buste a ete retrouve dans une benne. Un artiste local revendique "une critique du systeme".;CULTURE
Brouillard a couper au couteau;Visibilite nulle sur le peripherique. Les klaxons ont remplace les phares.;METEO
Hold-up manque pour 12 euros;Le suspect a fuit en voyant le ticket de caisse. Il a laisse son bonnet.;POLICE
Marathon des endettes;Des centaines de coureurs ont traverse la ville avec des pancartes "je dois encore 1000e".;SPORT
Un kebab ouvert 27 heures;Le gerant nie le depassement. Ses clients parlent d'un "trou dans le temps".;INSOLITE
Greve des facteurs du centre;Le courrier s'accumule. Plusieurs factures n'arriveront jamais, au grand soulagement de certains.;SOCIETE
Chien heros d'un incendie;Rex a reveille tout l'immeuble. Il a ensuite vole un sandwich des pompiers.;POLICE
Pluie de grenouilles au parc;Un camion de laboratoire a perdu sa cargaison. Les enfants sont ravis, les parents moins.;INSOLITE
Nouveau speakeasy derriere une librairie;On frappe trois fois, on dit "le diable a soif". La queue commence a 18h.;CULTURE
Accident de trottinette contre un mannequin;Le mannequin a gagne. La vitrine aussi.;INSOLITE
Match nul, bagarre vraie;Apres 0-0, les tribunes ont discute avec les poings. Huit interpellations.;SPORT
Vol de fromages dans un camion;Trente meules ont disparu. La police suit "une piste qui sent le reblochon".;POLICE
Vent violent : toits en vadrouille;Une antenne a atterri dans une piscine. La mairie parle d'episode exceptionnel.;METEO
Un bebe trouve dans un panier de linge;L'enfant va bien. Un mot disait : "rendez-le plus tard, je dois jouer en bourse".;SOCIETE
Exposition de tableaux inverses;Le conservateur jure que c'est volontaire. Les visiteurs se tordent le cou depuis mercredi.;CULTURE
Rumeur d'or dans les egouts;Des dizaines de personnes ont descendu les bouches. Elles sont ressorties plus pauvres et plus mouillees.;INSOLITE
